BOUTRNREFNO,LVID,NPCIREFNO,BILLERID,TRNREQDATE,TRNAMT,AUTH1,AUTH2,AUTH3,AUTH4,AUTH5,AUTH6,AUTH7,CURRSTATUSCODE,CURRSTATUSDESC,TXNREFERENCEID,MSGTPEID,ONUSFLAG,BILLAMOUNT,BILLDATE,BILLDUEDATE,BILLID,BILLNUMBER,CARDNUMBER,CARDTYPE,PARTIALPAYMENT,PAYMENTAMOUNT,PAYMENTID,PAYMENTSTATUS,PAYMENTTYPE,PAYWITHOUTBILL,NPCIBILLERID,TRACEID,SOURCEID,NPCIBOUINREFNO,BILLERTXNID,ISADHOC,BDSBILLERID,AGNTID,MSGID,PAYREF1,PAYREF2,PAYREF3,CUSTEMAIL,CUSTMOBILE,ORGSTATUSCODE,NPCIAGNTID,PAYMENTMODE,RETRYCOUNT,OFFUSFLAG,COUCUSTCONVFEE,NPCISTATUSCODE,NPCISTATUSDESC,NPCICOMPLIANCECODE,NPCICOMPLIANCEDESC,SITXN,ORIGREFID,OUID,BILLERCONNECTSTATUS,PAYMENTREFID,RECEIVEDAUTH,REMITTERNAME,DIRECTBILLCONTENTID,DIRECTBILLCHANNEL,UPDATED_ON,ISRECONPROCESSED,ISRECONCONSIDERED
1,51,,123456,2025-06-26 11:43:16.484,906859,,,,,,,,1005,,I0JTR8LR240CSIUEMO4I,,,,,,,,,,,,,,,,MPEZ00000MAP02,,,,,,,,,,,,,267C893B1E24E5BF35C14253FFBBE595,,,Internet Banking,-1,,,,,,BOU Received Failure Ack from NPCI For Response,,,HD51,,,,,,,,N,N
2,51,,123456,2025-06-26 11:43:16.484,380644,,,,,,,,2140,,FHBQ54WJCSIZYLXFLIFO,,,,,,,,,,,,,,,,FUSI00000DEL5E,,,,,,,,,,,,,267C893B1E24E5BF35C14253FFBBE595,,,UPI,-1,,,,,,Txn Status is Success at NPCI,,,HD51,,,,,,,,N,N
3,51,,123456,2025-06-26 11:43:16.484,955421,,,,,,,,5040,,TBTSZHV9P1DURGOT63J8,,,,,,,,,,,,,,,,ELEC00000CHA3L,,,,,,,,,,,,,267C893B1E24E5BF35C14253FFBBE595,,,Internet Banking,-1,,,,,,Failure Response Received From BOU,,,HD51,,,,,,,,N,N
4,51,,123456,2025-06-26 11:43:16.485,633731,,,,,,,,8027,,AZL0W2D9G6T84M27EE0G,,,,,,,,,,,,,,,,MPEZ00000MAP02,,,,,,,,,,,,,267C893B1E24E5BF35C14253FFBBE595,,,Credit Card,-1,,,,,,Bhim Aadhaar Pay info not in required format,,,HD51,,,,,,,,N,N
5,51,,123456,2025-06-26 11:43:16.485,931255,,,,,,,,2220,,DMLEX4FSCVWF4WTDP9Z6,,,,,,,,,,,,,,,,INDI00000NAT26,,,,,,,,,,,,,267C893B1E24E5BF35C14253FFBBE595,,,Credit Card,-1,,,,,,Success Pay Response Received From Biller,,,HD51,,,,,,,,N,N
6,51,,123456,2025-06-26 11:43:16.485,740782,,,,,,,,2220,,HKG4MHQBJT69OG1NDE03,,,,,,,,,,,,,,,,HDFC00000NAT5K,,,,,,,,,,,,,267C893B1E24E5BF35C14253FFBBE595,,,UPI,-1,,,,,,Success Pay Response Received From Biller,,,HD51,,,,,,,,N,N
7,51,,123456,2025-06-26 11:43:16.485,631965,,,,,,,,8027,,GHRUX8NDB968ZQYDHWYE,,,,,,,,,,,,,,,,COMM00000TELQ2,,,,,,,,,,,,,267C893B1E24E5BF35C14253FFBBE595,,,Credit Card,-1,,,,,,Bhim Aadhaar Pay info not in required format,,,HD51,,,,,,,,N,N
8,51,,123456,2025-06-26 11:43:16.485,534646,,,,,,,,8028,,YL7UDJ7X7G7J2XQD3FN4,,,,,,,,,,,,,,,,ARTH00000NAT4D,,,,,,,,,,,,,267C893B1E24E5BF35C14253FFBBE595,,,Credit Card,-1,,,,,,Payment Account Info not sent,,,HD51,,,,,,,,N,N
9,51,,123456,2025-06-26 11:43:16.485,276774,,,,,,,,2220,,K82A6QL23OWW9UNHPXTC,,,,,,,,,,,,,,,,HDFC00000NAT5K,,,,,,,,,,,,,267C893B1E24E5BF35C14253FFBBE595,,,Credit Card,-1,,,,,,Success Pay Response Received From Biller,,,HD51,,,,,,,,N,N
10,51,,123456,2025-06-26 11:43:16.485,516762,,,,,,,,2140,,B98KV5MTBNB2G9ETQ4YA,,,,,,,,,,,,,,,,LUCK00000LUC9J,,,,,,,,,,,,,267C893B1E24E5BF35C14253FFBBE595,,,UPI,-1,,,,,,Txn Status is Success at NPCI,,,HD51,,,,,,,,N,N
11,51,,123456,2025-06-26 11:43:16.486,148023,,,,,,,,8020,,W1UG6KRQM2TESKHL8JI9,,,,,,,,,,,,,,,,MPCZ00000MAP01,,,,,,,,,,,,,267C893B1E24E5BF35C14253FFBBE595,,,Credit Card,-1,,,,,,AEPS info not sent,,,HD51,,,,,,,,N,N
